BOIL, to pass rapidly from liquid into vapour [v -ED-ING
BOIS, BOI(slang) a lesbian who adopts a boyish appearance or manners [n]
BOKE, (dialect) to belchalso BOAK
BOKO, (slang) the nose [n -S]
BOKS, BOK(South African) a goat or antelope [n]
BOLA, (Spanish) a South American missileconsisting of two or more balls tied together
BOLD, bravedaring [adj BOLDER
BOLE, a fine earthy clay [n -S]
BOLL, to form pods [v -ED-ING
BOLO, (Spanish) a traditional long-bladed Philippine knife [n -S]
BOLT, to run away [v -ED-ING
BOMA, (Swahili) in Africaa thorn enclosure [n -S]
BOMB, to attack with an exploding device [v -ED-ING
BONA, (Latin) goods [n]
BOND, to join together [v -ED-ING
BONE, to take the bones out of [v BONEDBONING
BONG, to make a deep ringing sound [v -ED-ING
BONK, to hit or thumpto have sexual intercourse [v -ED
BONY, like bonealso BONEY [adj BONIER
BOOB, to make a mistake [v -ED-ING
BOOH, to show disapproval by making this soundalso BOO [v -ED
BOOK, to reserve in advance [v -ED-ING
BOOL, (Scots) to play bowls [v -ED-ING
BOOM, to make a roaring sound [v -ED-ING
BOON, as in boon companion [adj BOONERBOONEST] / a timely benefit
BOOR, a rude person [n -S]
BOOS, BOOto show disapproval by making this sound
BOOT, to kick with the foot [v -ED-ING
BOPS, BOPto dance to pop music [v]
BORA, (Italian) a violent cold north wind that blows from the mountains towards the East coast of the Adriatic [n -S]
BORD, (obsolete) a boardalso BOORD
BORE, to pierce with a tool [v BOREDBORING
BORK, to denigrate a job applicant for partisan reasons [v -ED-ING
BORM, (dialect) to smear with paint or oil [v -ED-ING
BORN, BEARto endure [v]
BORS, BORan East Anglian form of address meaning neighbour [n]
BORT, diamond dust or fragmentsalso BOART
BOSH, (colloquial) meaningless talk [n -ES]
BOSK, a busha thicket
BOSS, to domineer over [v -ED-ING
BOTA, (Spanish) a leather bottle for wine [n -S]
BOTE, compensation for injury or damage to property [n -S]
BOTH, the two; the one and the otheralso BAITH [adj]
BOTS, BOTto cadge [v]
BOTT, the maggot of a botflyalso BOT [n -S]
BOUK, (Scots) the body; bulk [n -S]
BOUN, to preparealso BOWNE [v -ED
BOUT, a contest [n -S]
BOWL, to make a delivery of a ball [v -ED-ING
BOWR, (Spenser) a muscle [n -S]
