HOO,  (Shakespeare) an interjection expressing boisterous emotion [interj]
HOP,  to move by jumping on one foot [v HOPPEDHOPPING
HOS,  HOto stop [v]
HOT,  having a high temperature [adj HOTTERHOTTEST] / to heat [v HOTTED
HOW,  a low hillalso HOWE [n -S]
HOX,  (Shakespeare) to hamstring [v -ED-ING
HOY,  to incite [v -ED-ING
HUB,  the centre of a wheel [n -S]
HUE,  colour [n -S]
HUG,  to clasp tightly in the arms [v HUGGEDHUGGING
HUH,  used to express surprise [interj]
HUI,  a Maori gathering [n -S]
HUM,  to make a sound like bees [v HUMMEDHUMMING
HUN,  a barbarousdestructive person [n -S]
HUP,  to quicken the pace of a horse or turn a horse to the right (by shouting hup to it) [v HUPPEDHUPPING
HUT,  a smallmean or crudely built house [n -S] / to settle in a hut [v HUTTED
HYE,  (obsolete) to hasten [v HYEDHYEING or HYING
HYP,  to offend [v HYPPEDHYPPING
ICE,  to cover with frozen water [v ICEDICING
ICH,  (Shakespeare) to ekealso ECH
ICK,  something sticky or disgusting [n -S]
ICY,  covered with ice [adj ICIERICIEST
IDE,  a fish of the carp familyaka silver orfe
IDS,  IDa fish of the carp family
IFF,  if and only if [conj]
IFS,  IFa condition [n]
IGG,  (slang) to ignore [v -ED-ING
ILK,  a type or kindalso YLKE [n -S]
ILL,  unwell [adj ILLERILLEST
IMP,  to graft feathers onto a bird's wingalso YMPE [v -ED
ING,  a meadowesp. one beside a river [n -S]
INK,  a coloured liquid used in writing [n -S] / to colour with ink [v -ED-ING
INN,  to stay at a public lodging house [v -ED-ING
INS,  INto take in e.g. harvest [v]
ION,  an electrically-charged particle formed by loss or gain of electrons by an atom [n -S]
IOS,  IOa cry of joy [n]
IRE,  to anger [v IREDIRING
IRK,  to annoy or weary [v -ED-ING
ISH,  in Scots lawissue or expiry [n -ES]
ISM,  a distinctive theory or doctrine [n -S]
ISO,  (short for) an isolated replaya TV and film facility [n -S]
ITA,  the miriti palm [n -S]
ITS,  possessive form of IT [pron]
IVY,  a climbing vine [n IVIES]
IWI,  (Maori) a large Maori tribe (sometimes the whole Maori nation) [n -S]
JAB,  to poke sharply [v JABBEDJABBING
JAG,  to cut unevenlyalso JAGG [v JAGGED
JAI,  (Hindi) onward to victory [interj]
JAK,  an East Indian tree of the breadfruit familyalso JACKFRUIT
JAM,  to force together tightly [v JAMMEDJAMMING
JAP,  to splash or spatteralso JAUP [v JAPPED
JAR,  to vibrate from an impact [v JARREDJARRING
JAW,  to chatter at length [v -ED-ING
JAY,  a corvine birdalso JAYBIRD [n -S]
JEE,  of horsesto urge on
JET,  to spurt forth in a stream [v JETTEDJETTING
JEU,  (French) a game [n JEUX]
JEW,  (offensive) to barter successfully [v -ED-ING
JIB,  to draw backto renegue [v -ED
